|        1 | C0278261 | -plasty                                                                | 2001-2005  |
|       25 | C0001645 | Adrenergic beta-Antagonists                                            | 2006-2010  |
|        9 | C0001645 | Adrenergic beta-Antagonists                                            | 2011-2013  |
|        1 | C0150600 | Advice                                                                 | 1996-2000  |
|        3 | C0150600 | Advice                                                                 | 2001-2005  |
|        3 | C0150600 | Advice                                                                 | 2006-2010  |
|        2 | C0150600 | Advice                                                                 | 2011-2013  |
|        1 | C0001888 | Ajmaline                                                               | 1980-1985  |
|        1 | C0001927 | Albuterol                                                              | 1991-1995  |
|        3 | C0002006 | Aldosterone                                                            | 2006-2010  |
|        4 | C0002006 | Aldosterone                                                            | 2011-2013  |
|        4 | C0002007 | Aldosterone Antagonists                                                | 2006-2010  |
|        2 | C0002007 | Aldosterone Antagonists                                                | 2011-2013  |
|        1 | C1579268 | Aldosterone Receptor Antagonists                                       | 2006-2010  |
|        2 | C0032143 | Alteplase                                                              | 1991-1995  |
|        3 | C0032143 | Alteplase                                                              | 1996-2000  |
|        2 | C0032143 | Alteplase                                                              | 2006-2010  |
|        5 | C0032143 | Alteplase                                                              | 2011-2013  |
|        1 | C0949216 | Alternative Therapies                                                  | 1996-2000  |
|        1 | C0949216 | Alternative Therapies                                                  | 2006-2010  |
|        3 | C0949216 | Alternative Therapies                                                  | 2011-2013  |
|        1 | C0043603 | amidronate                                                             | 1996-2000  |
|        1 | C0043603 | amidronate                                                             | 2006-2010  |
|        1 | C0043603 | amidronate                                                             | 2011-2013  |
|        2 | C0002575 | Aminophylline                                                          | 1986-1990  |
|        1 | C0002575 | Aminophylline                                                          | 1996-2000  |
|       11 | C0002598 | Amiodarone                                                             | 1980-1985  |
|       13 | C0002598 | Amiodarone                                                             | 1986-1990  |
|       31 | C0002598 | Amiodarone                                                             | 1991-1995  |
|       47 | C0002598 | Amiodarone                                                             | 1996-2000  |
|       69 | C0002598 | Amiodarone                                                             | 2001-2005  |
|       96 | C0002598 | Amiodarone                                                             | 2006-2010  |
|       33 | C0002598 | Amiodarone                                                             | 2011-2013  |
|        1 | C0700442 | Amiodarone hydrochloride                                               | 1986-1990  |
|        1 | C0051696 | Amlodipine                                                             | 2006-2010  |
|        2 | C0002688 | Amputation                                                             | 2006-2010  |
|        1 | C0002688 | Amputation                                                             | 2011-2013  |
|        1 | C0002903 | Anesthesia procedures                                                  | 1996-2000  |
|        3 | C0002913 | Anesthesia, Epidural                                                   | 2011-2013  |
|        1 | C0540511 | Angiopoietin-2                                                         | 2001-2005  |
|        1 | C0003009 | Angiotensin II                                                         | 2001-2005  |
|        1 | C0003009 | Angiotensin II                                                         | 2006-2010  |
|        3 | C0003009 | Angiotensin II                                                         | 2011-2013  |
|        1 | C0521942 | Angiotensin II receptor antagonist                                     | 2001-2005  |
|        4 | C1449680 | Angiotensin II Type 1 Receptor Blockers                                | 2001-2005  |
|        1 | C1449680 | Angiotensin II Type 1 Receptor Blockers                                | 2006-2010  |
|        1 | C1449680 | Angiotensin II Type 1 Receptor Blockers                                | 2011-2013  |
|       14 | C0003015 | Angiotensin-Converting Enzyme Inhibitors                               | 2001-2005  |
|       21 | C0003015 | Angiotensin-Converting Enzyme Inhibitors                               | 2006-2010  |
|        4 | C0003015 | Angiotensin-Converting Enzyme Inhibitors                               | 2011-2013  |
|        3 | C0003018 | Angiotensins                                                           | 2011-2013  |
|        1 | C0190165 | Annuloplasty                                                           | 2006-2010  |
|        2 | C0040616 | Anti-Anxiety Agents                                                    | 1996-2000  |
|        3 | C0040616 | Anti-Anxiety Agents                                                    | 2011-2013  |
|        5 | C0003195 | Anti-Arrhythmia Agents                                                 | 1986-1990  |
|       17 | C0003195 | Anti-Arrhythmia Agents                                                 | 1991-1995  |
|       43 | C0003195 | Anti-Arrhythmia Agents                                                 | 1996-2000  |
|       88 | C0003195 | Anti-Arrhythmia Agents                                                 | 2001-2005  |
|      124 | C0003195 | Anti-Arrhythmia Agents                                                 | 2006-2010  |
|       79 | C0003195 | Anti-Arrhythmia Agents                                                 | 2011-2013  |
|        1 | C0279516 | Anti-Bacterial Agents                                                  | 1996-2000  |
|        1 | C0003209 | Anti-Inflammatory Agents                                               | 2006-2010  |
|        1 | C0003211 | Anti-Inflammatory Agents, Non-Steroidal                                | 2006-2010  |
|        2 | C0003232 | Antibiotics                                                            | 1986-1990  |
|        1 | C0419969 | Anticoagulant drug monitoring                                          | 1991-1995  |
|        1 | C0419969 | Anticoagulant drug monitoring                                          | 2001-2005  |
|        1 | C0419969 | Anticoagulant drug monitoring                                          | 2006-2010  |
|        1 | C0150457 | Anticoagulant therapy                                                  | 1980-1985  |
|       15 | C0150457 | Anticoagulant therapy                                                  | 1991-1995  |
|       23 | C0150457 | Anticoagulant therapy                                                  | 1996-2000  |
|       40 | C0150457 | Anticoagulant therapy                                                  | 2001-2005  |
|       55 | C0150457 | Anticoagulant therapy                                                  | 2006-2010  |
|       65 | C0150457 | Anticoagulant therapy                                                  | 2011-2013  |
|        6 | C0003280 | Anticoagulants                                                         | 1986-1990  |
|       10 | C0003280 | Anticoagulants                                                         | 1991-1995  |
|       21 | C0003280 | Anticoagulants                                                         | 1996-2000  |
|       33 | C0003280 | Anticoagulants                                                         | 2001-2005  |
|       27 | C0003280 | Anticoagulants                                                         | 2006-2010  |
|       73 | C0003280 | Anticoagulants                                                         | 2011-2013  |
|        1 | C0003281 | anticoagulation                                                        | 1980-1985  |
|        5 | C0003281 | anticoagulation                                                        | 1986-1990  |
|       36 | C0003281 | anticoagulation                                                        | 1991-1995  |
|       93 | C0003281 | anticoagulation                                                        | 1996-2000  |
|      113 | C0003281 | anticoagulation                                                        | 2001-2005  |
|      159 | C0003281 | anticoagulation                                                        | 2006-2010  |
|      177 | C0003281 | anticoagulation                                                        | 2011-2013  |
|        6 | C0741135 | ANTICOAGULATION TREATMENT                                              | 2001-2005  |
|        5 | C0741135 | ANTICOAGULATION TREATMENT                                              | 2006-2010  |
|        7 | C0741135 | ANTICOAGULATION TREATMENT                                              | 2011-2013  |
|        1 | C0003289 | Antidepressive Agents                                                  | 1986-1990  |
|        1 | C0003304 | Antifibrinolytic Agents                                                | 1986-1990  |
|        2 | C0003364 | Antihypertensive Agents                                                | 2011-2013  |
|        1 | C0585941 | Antihypertensive therapy                                               | 1996-2000  |
|        1 | C0585941 | Antihypertensive therapy                                               | 2006-2010  |
|        2 | C0585941 | Antihypertensive therapy                                               | 2011-2013  |
|        1 | C1096024 | Antiinflammatory therapy                                               | 2001-2005  |
|        1 | C1096024 | Antiinflammatory therapy                                               | 2011-2013  |
|        1 | C0003402 | Antioxidants                                                           | 2006-2010  |
|        4 | C0003402 | Antioxidants                                                           | 2011-2013  |
|        1 | C0085826 | Antiplatelet Agents                                                    | 1996-2000  |
|        4 | C0085826 | Antiplatelet Agents                                                    | 2001-2005  |
|        4 | C0085826 | Antiplatelet Agents                                                    | 2006-2010  |
|        5 | C0085826 | Antiplatelet Agents                                                    | 2011-2013  |
|        1 | C1096021 | Antiplatelet therapy                                                   | 1991-1995  |
|        1 | C1096021 | Antiplatelet therapy                                                   | 1996-2000  |
|        9 | C1096021 | Antiplatelet therapy                                                   | 2006-2010  |
|       14 | C1096021 | Antiplatelet therapy                                                   | 2011-2013  |
|        1 | C0003438 | Antithrombin III                                                       | 2001-2005  |
|        2 | C0003438 | Antithrombin III                                                       | 2006-2010  |
|       14 | C0003438 | Antithrombin III                                                       | 2011-2013  |
|        2 | C0178483 | aortic balloon pump                                                    | 1991-1995  |
|        1 | C0178483 | aortic balloon pump                                                    | 2011-2013  |
|        1 | C0003506 | Aortic valve replacement NOS                                           | 2001-2005  |
|        1 | C0003506 | Aortic valve replacement NOS                                           | 2006-2010  |
|        2 | C0003506 | Aortic valve replacement NOS                                           | 2011-2013  |
|        2 | C0185125 | Application procedure                                                  | 1980-1985  |
|        2 | C0185125 | Application procedure                                                  | 1991-1995  |
|        5 | C0185125 | Application procedure                                                  | 1996-2000  |
|        6 | C0185125 | Application procedure                                                  | 2001-2005  |
|       14 | C0185125 | Application procedure                                                  | 2006-2010  |
|        6 | C0185125 | Application procedure                                                  | 2011-2013  |
|        1 | C0003639 | Aprindine                                                              | 2001-2005  |
|        1 | C0172217 | Arsenal                                                                | 2011-2013  |
|        1 | C0729665 | Arteriovenous graft                                                    | 2011-2013  |
|        1 | C0003893 | Arthroplasty                                                           | 2011-2013  |
|        1 | C0392806 | Arthroplasty, Replacement, Hip                                         | 2011-2013  |
|        1 | C0086511 | Arthroplasty, Replacement, Knee                                        | 2011-2013  |
|        1 | C0003968 | Ascorbic Acid                                                          | 2006-2010  |
|        1 | C0280527 | asparaginase/prednisone/vincristine protocol                           | 2011-2013  |
|       10 | C0004057 | Aspirin                                                                | 1991-1995  |
|       36 | C0004057 | Aspirin                                                                | 1996-2000  |
|       19 | C0004057 | Aspirin                                                                | 2001-2005  |
|       35 | C0004057 | Aspirin                                                                | 2006-2010  |
|       16 | C0004057 | Aspirin                                                                | 2011-2013  |
|        1 | C1261322 | Assessment procedure                                                   | 1980-1985  |
|        2 | C1261322 | Assessment procedure                                                   | 1986-1990  |
|        1 | C1261322 | Assessment procedure                                                   | 1991-1995  |
|        5 | C1261322 | Assessment procedure                                                   | 1996-2000  |
|       10 | C1261322 | Assessment procedure                                                   | 2001-2005  |
|       15 | C1261322 | Assessment procedure                                                   | 2006-2010  |
|        9 | C1261322 | Assessment procedure                                                   | 2011-2013  |
|        1 | C0004147 | Atenolol                                                               | 1991-1995  |
|        2 | C0004147 | Atenolol                                                               | 2001-2005  |
|        1 | C0004147 | Atenolol                                                               | 2006-2010  |
|        1 | C0004147 | Atenolol                                                               | 2011-2013  |
|        1 | C0286651 | atorvastatin                                                           | 2001-2005  |
|        2 | C0286651 | atorvastatin                                                           | 2006-2010  |
|        5 | C0286651 | atorvastatin                                                           | 2011-2013  |
|        3 | C0199550 | Atrial cardioversion                                                   | 1996-2000  |
|        1 | C0199550 | Atrial cardioversion                                                   | 2001-2005  |
|        1 | C0199550 | Atrial cardioversion                                                   | 2006-2010  |
|        1 | C0397185 | Atrial operation                                                       | 1996-2000  |
|        3 | C0397185 | Atrial operation                                                       | 2001-2005  |
|        1 | C0565239 | Atrial overdrive pacing                                                | 2001-2005  |
|        2 | C0004259 | Atropine                                                               | 2001-2005  |
|        1 | C1510984 | Autologous Stem Cell Transplantation                                   | 2011-2013  |
|        2 | C0206233 | Autonomic Denervation                                                  | 2006-2010  |
|        2 | C0206233 | Autonomic Denervation                                                  | 2011-2013  |
|        4 | C0252416 | azimilide                                                              | 1996-2000  |
|        6 | C0252416 | azimilide                                                              | 2001-2005  |
|        2 | C0252416 | azimilide                                                              | 2006-2010  |
|        1 | C1314817 | azimilide dihydrochloride                                              | 2001-2005  |
|        1 | C0004704 | Balloon Dilatation                                                     | 1991-1995  |
|        1 | C0441127 | Balloon dilatation catheter                                            | 2006-2010  |
|        1 | C0396879 | Balloon mitral valvotomy                                               | 1996-2000  |
|        1 | C0396879 | Balloon mitral valvotomy                                               | 2001-2005  |
|        2 | C0396879 | Balloon mitral valvotomy                                               | 2011-2013  |
|        1 | C0887842 | Balloon Occlusion                                                      | 1996-2000  |
|        1 | C0004708 | Balloon Valvuloplasty                                                  | 2001-2005  |
|        2 | C0175723 | Bands                                                                  | 2001-2005  |
|        1 | C0053091 | benazepril                                                             | 2006-2010  |
|        1 | C0005116 | Bepridil                                                               | 1980-1985  |
|        2 | C0005116 | Bepridil                                                               | 1986-1990  |
|        5 | C0005116 | Bepridil                                                               | 2001-2005  |
|       12 | C0005116 | Bepridil                                                               | 2006-2010  |
|       12 | C0005116 | Bepridil                                                               | 2011-2013  |
|        1 | C0770909 | Bepridil hydrochloride                                                 | 2011-2013  |
|        1 | C1278453 | Beta blocker prophylaxis                                               | 2006-2010  |
|        1 | C0741468 | BETA BLOCKER TREATMENT                                                 | 1991-1995  |
|        1 | C0741468 | BETA BLOCKER TREATMENT                                                 | 2006-2010  |
|        1 | C0741468 | BETA BLOCKER TREATMENT                                                 | 2011-2013  |
|        3 | C0875976 | Betapace AF                                                            | 2001-2005  |
|        2 | C0005320 | Betaxolol                                                              | 2006-2010  |
|        1 | C0165565 | bidisomide                                                             | 1996-2000  |
|        1 | C0005527 | Biological Response Modifier Therapy                                   | 2006-2010  |
|        1 | C0181904 | Biomedical Monitors                                                    | 2001-2005  |
|        1 | C0181904 | Biomedical Monitors                                                    | 2006-2010  |
|        1 | C0053799 | Bisoprolol                                                             | 2001-2005  |
|        2 | C0053799 | Bisoprolol                                                             | 2011-2013  |
|        3 | C0005825 | Blood Pressure Monitors                                                | 2011-2013  |
|        1 | C0972401 | Boards                                                                 | 2001-2005  |
|        1 | C0005971 | Bone plates                                                            | 1991-1995  |
|        2 | C0005978 | Bone Wires                                                             | 1996-2000  |
|        1 | C0857515 | Booster                                                                | 2006-2010  |
|        1 | C0054015 | Brain natriuretic peptide                                              | 2001-2005  |
|        3 | C0054015 | Brain natriuretic peptide                                              | 2006-2010  |
|        1 | C0054015 | Brain natriuretic peptide                                              | 2011-2013  |
|        1 | C0006168 | Bretylium Tosylate                                                     | 1980-1985  |
|        1 | C0054196 | bucindolol                                                             | 2011-2013  |
|        1 | C0700525 | Butorphanol Tartrate                                                   | 2001-2005  |
|        2 | C0741847 | Bypass                                                                 | 2001-2005  |
|        1 | C0741847 | Bypass                                                                 | 2006-2010  |
|        1 | C0185098 | Bypass graft                                                           | 2011-2013  |
|        1 | C1536078 | Bypass surgery                                                         | 2006-2010  |
|        2 | C1536078 | Bypass surgery                                                         | 2011-2013  |
|        1 | C0006644 | Caffeine                                                               | 2006-2010  |
|        2 | C0006684 | Calcium Channel Blockers                                               | 1986-1990  |
|        4 | C0006684 | Calcium Channel Blockers                                               | 1991-1995  |
|        1 | C0006684 | Calcium Channel Blockers                                               | 2001-2005  |
|        2 | C0006684 | Calcium Channel Blockers                                               | 2006-2010  |
|        1 | C0006684 | Calcium Channel Blockers                                               | 2011-2013  |
|        1 | C0717550 | candesartan                                                            | 2001-2005  |
|        2 | C0717550 | candesartan                                                            | 2006-2010  |
|        1 | C0527379 | candesartan cilexetil                                                  | 2011-2013  |
|        1 | C0917707 | Cannulation                                                            | 1996-2000  |
|        1 | C0671970 | capecitabine                                                           | 2011-2013  |
|        1 | C0162563 | Cardiac ablation                                                       | 1986-1990  |
|        4 | C0162563 | Cardiac ablation                                                       | 1991-1995  |
|       19 | C0162563 | Cardiac ablation                                                       | 1996-2000  |
|       78 | C0162563 | Cardiac ablation                                                       | 2001-2005  |
|      319 | C0162563 | Cardiac ablation                                                       | 2006-2010  |
|      369 | C0162563 | Cardiac ablation                                                       | 2011-2013  |
|        2 | C0007158 | Cardiac Glycosides                                                     | 2001-2005  |
|        1 | C0007158 | Cardiac Glycosides                                                     | 2006-2010  |
|        4 | C0179608 | Cardiac Monitors                                                       | 2006-2010  |
|        2 | C0179608 | Cardiac Monitors                                                       | 2011-2013  |
|        2 | C0199640 | Cardiac pacing NOS                                                     | 2001-2005  |
|        1 | C0199640 | Cardiac pacing NOS                                                     | 2006-2010  |
|        1 | C0700431 | Cardiac rehabilitation                                                 | 2006-2010  |
|        2 | C0700431 | Cardiac rehabilitation                                                 | 2011-2013  |
|        5 | C1167956 | Cardiac resynchronisation therapy                                      | 2001-2005  |
|       43 | C1167956 | Cardiac resynchronisation therapy                                      | 2006-2010  |
|       32 | C1167956 | Cardiac resynchronisation therapy                                      | 2011-2013  |
|        1 | C0810449 | Cardiac Stimulators                                                    | 2006-2010  |
|        7 | C0018821 | Cardiac Surgery procedures                                             | 2001-2005  |
|       10 | C0018821 | Cardiac Surgery procedures                                             | 2006-2010  |
|        3 | C0018821 | Cardiac Surgery procedures                                             | 2011-2013  |
|        1 | C0007202 | Cardiopulmonary Bypass                                                 | 1996-2000  |
|        2 | C0007202 | Cardiopulmonary Bypass                                                 | 2001-2005  |
|        1 | C0007202 | Cardiopulmonary Bypass                                                 | 2006-2010  |
|        2 | C0007202 | Cardiopulmonary Bypass                                                 | 2011-2013  |
|        1 | C0007220 | Cardiovascular Agents                                                  | 2011-2013  |
|        1 | C0038897 | Cardiovascular Surgical Procedures                                     | 1996-2000  |
|        1 | C0038897 | Cardiovascular Surgical Procedures                                     | 2001-2005  |
|        1 | C0038897 | Cardiovascular Surgical Procedures                                     | 2011-2013  |
|        1 | C1112431 | Carotid sinus massage                                                  | 2001-2005  |
|        3 | C0054836 | carvedilol                                                             | 2001-2005  |
|        6 | C0054836 | carvedilol                                                             | 2006-2010  |
|        2 | C0054836 | carvedilol                                                             | 2011-2013  |
|        8 | C0162560 | Catheter Ablation, Percutaneous                                        | 2006-2010  |
|        6 | C0162560 | Catheter Ablation, Percutaneous                                        | 2011-2013  |
|        3 | C0162561 | Catheter Ablation, Radiofrequency                                      | 1991-1995  |
|       17 | C0162561 | Catheter Ablation, Radiofrequency                                      | 1996-2000  |
|       23 | C0162561 | Catheter Ablation, Radiofrequency                                      | 2001-2005  |
|      106 | C0162561 | Catheter Ablation, Radiofrequency                                      | 2006-2010  |
|       74 | C0162561 | Catheter Ablation, Radiofrequency                                      | 2011-2013  |
|        1 | C0162562 | Catheter Ablation, Transvenous                                         | 1986-1990  |
|        1 | C0162562 | Catheter Ablation, Transvenous                                         | 2001-2005  |
|        1 | C0162562 | Catheter Ablation, Transvenous                                         | 2011-2013  |
|        1 | C0085590 | catheter device                                                        | 2001-2005  |
|        2 | C0085590 | catheter device                                                        | 2006-2010  |
|        2 | C0085590 | catheter device                                                        | 2011-2013  |
|        1 | C0280440 | catheter management                                                    | 2011-2013  |
|        1 | C0455760 | Catheter procedure                                                     | 1991-1995  |
|        1 | C0455760 | Catheter procedure                                                     | 1996-2000  |
|        3 | C0455760 | Catheter procedure                                                     | 2001-2005  |
|        1 | C0455760 | Catheter procedure                                                     | 2006-2010  |
|        4 | C0455760 | Catheter procedure                                                     | 2011-2013  |
|        2 | C0007430 | Catheterization                                                        | 2001-2005  |
|        1 | C0007430 | Catheterization                                                        | 2011-2013  |
|        1 | C1140605 | Catheters, Cardiac, Ablation                                           | 2001-2005  |
|        1 | C0179749 | Catheters, Electrode                                                   | 2006-2010  |
|        1 | C0878978 | Catheters, Vascular, Retrieval, Basket                                 | 2001-2005  |
|        1 | C0878978 | Catheters, Vascular, Retrieval, Basket                                 | 2006-2010  |
|        3 | C0007597 | Cell hybridization                                                     | 2011-2013  |
|        1 | C0302189 | Cell Therapy                                                           | 2006-2010  |
|        1 | C1145640 | Central venous catheter                                                | 1986-1990  |
|        1 | C0592532 | certoparin                                                             | 2006-2010  |
|        1 | C0870261 | Channel Blockers                                                       | 2001-2005  |
|        4 | C0870261 | Channel Blockers                                                       | 2006-2010  |
|        1 | C0870261 | Channel Blockers                                                       | 2011-2013  |
|        1 | C0007963 | Charts                                                                 | 2011-2013  |
|        1 | C0279023 | chemosensitization/potentiation                                        | 1991-1995  |
|        1 | C0694554 | chronic anticoagulation                                                | 1980-1985  |
|        1 | C0694554 | chronic anticoagulation                                                | 2001-2005  |
|        3 | C0694554 | chronic anticoagulation                                                | 2006-2010  |
|        2 | C0694554 | chronic anticoagulation                                                | 2011-2013  |
|        1 | C0055720 | cifenline                                                              | 1980-1985  |
|        1 | C0055720 | cifenline                                                              | 1991-1995  |
|        1 | C0055720 | cifenline                                                              | 2006-2010  |
|        1 | C0700219 | Cigarette Smoking                                                      | 2006-2010  |
|        1 | C0055723 | Cilazapril                                                             | 2001-2005  |
|        2 | C0055723 | Cilazapril                                                             | 2006-2010  |
|        1 | C0055729 | cilostazol                                                             | 1996-2000  |
|        1 | C0520526 | cisplatin/cyclophosphamide/doxorubicin/etoposide chemotherapy protocol | 2001-2005  |
|        4 | C0520526 | cisplatin/cyclophosphamide/doxorubicin/etoposide chemotherapy protocol | 2006-2010  |
|        1 | C0520526 | cisplatin/cyclophosphamide/doxorubicin/etoposide chemotherapy protocol | 2011-2013  |
|        1 | C0175721 | Clamp                                                                  | 2011-2013  |
|        1 | C0304503 | Class Ia antiarrhythmic drug                                           | 1991-1995  |
|        1 | C0304503 | Class Ia antiarrhythmic drug                                           | 2001-2005  |
|        1 | C0304505 | Class Ic antiarrhythmic drug                                           | 1991-1995  |
|        4 | C0304505 | Class Ic antiarrhythmic drug                                           | 1996-2000  |
|        2 | C0304505 | Class Ic antiarrhythmic drug                                           | 2001-2005  |
|        3 | C0304505 | Class Ic antiarrhythmic drug                                           | 2006-2010  |
|        3 | C0304505 | Class Ic antiarrhythmic drug                                           | 2011-2013  |
|        4 | C0360703 | Class III antiarrhythmic drug                                          | 1996-2000  |
|        4 | C0360703 | Class III antiarrhythmic drug                                          | 2001-2005  |
|        7 | C0360703 | Class III antiarrhythmic drug                                          | 2006-2010  |
|        4 | C0360703 | Class III antiarrhythmic drug                                          | 2011-2013  |
|        1 | C1516615 | Clinical Management                                                    | 2011-2013  |
|        1 | C1516635 | Clinical Treatment                                                     | 2011-2013  |
|        1 | C1283066 | Clipping                                                               | 2001-2005  |
|        1 | C0009014 | Clonidine                                                              | 2001-2005  |
|        1 | C0009014 | Clonidine                                                              | 2011-2013  |
|        1 | C0070166 | clopidogrel                                                            | 2001-2005  |
|        8 | C0070166 | clopidogrel                                                            | 2006-2010  |
|        8 | C0070166 | clopidogrel                                                            | 2011-2013  |
|        1 | C0189965 | Closure of defect of interatrial septum NOS                            | 2006-2010  |
|        1 | C0009117 | Coagulants                                                             | 1991-1995  |
|        1 | C0009117 | Coagulants                                                             | 2011-2013  |
|        1 | C0441509 | Coagulation procedure                                                  | 1980-1985  |
|        2 | C0441509 | Coagulation procedure                                                  | 1996-2000  |
|        7 | C0441509 | Coagulation procedure                                                  | 2001-2005  |
|        2 | C0441509 | Coagulation procedure                                                  | 2006-2010  |
|        4 | C0441509 | Coagulation procedure                                                  | 2011-2013  |
|        1 | C0010412 | Cold Therapy                                                           | 2001-2005  |
|        1 | C0009429 | Combined Modality Therapy                                              | 1991-1995  |
|        4 | C0009429 | Combined Modality Therapy                                              | 2001-2005  |
|        3 | C0009429 | Combined Modality Therapy                                              | 2006-2010  |
|        1 | C0009429 | Combined Modality Therapy                                              | 2011-2013  |
|        1 | C0015250 | Complete excision                                                      | 2001-2005  |
|        1 | C1292781 | Complex procedure                                                      | 2001-2005  |
|        2 | C1292781 | Complex procedure                                                      | 2011-2013  |
|        1 | C0079159 | Conscious Sedation                                                     | 2006-2010  |
|        2 | C0459914 | Conservative therapy                                                   | 2011-2013  |
|        1 | C0420200 | Continuous ECG monitoring                                              | 2011-2013  |
|        1 | C1511497 | Continuous Intravenous Infusion                                        | 1996-2000  |
|        1 | C0199451 | Continuous Positive Airway Pressure                                    | 2011-2013  |
|        1 | C1521745 | Conventional Surgery                                                   | 2001-2005  |
|        1 | C0009953 | Convulsive therapy                                                     | 2001-2005  |
|        1 | C0009953 | Convulsive therapy                                                     | 2006-2010  |
|        1 | C0701076 | Cordarone                                                              | 1980-1985  |
|        1 | C0701076 | Cordarone                                                              | 1986-1990  |
|        2 | C0701076 | Cordarone                                                              | 1991-1995  |
|        4 | C0010055 | Coronary Artery Bypass Surgery                                         | 1996-2000  |
|       10 | C0010055 | Coronary Artery Bypass Surgery                                         | 2001-2005  |
|       14 | C0010055 | Coronary Artery Bypass Surgery                                         | 2006-2010  |
|        8 | C0010055 | Coronary Artery Bypass Surgery                                         | 2011-2013  |
|        2 | C0877341 | Coronary revascularisation                                             | 2011-2013  |
|        4 | C0397415 | Corridor operation                                                     | 1991-1995  |
|        1 | C0397415 | Corridor operation                                                     | 2006-2010  |
|        1 | C0397415 | Corridor operation                                                     | 2011-2013  |
|        1 | C0699129 | Coumadin                                                               | 1996-2000  |
|        3 | C0699129 | Coumadin                                                               | 2001-2005  |
|        3 | C0699129 | Coumadin                                                               | 2006-2010  |
|        4 | C0699129 | Coumadin                                                               | 2011-2013  |
|        1 | C0010206 | coumarin                                                               | 1996-2000  |
|        2 | C0010206 | coumarin                                                               | 2001-2005  |
|        1 | C0010207 | Coumarins                                                              | 2001-2005  |
|        1 | C0010207 | Coumarins                                                              | 2006-2010  |
|        1 | C0010207 | Coumarins                                                              | 2011-2013  |
|        1 | C0010210 | Counseling                                                             | 2011-2013  |
|        1 | C0180153 | Covers                                                                 | 2001-2005  |
|       12 | C1260336 | Cox-maze procedure                                                     | 1996-2000  |
|       18 | C1260336 | Cox-maze procedure                                                     | 2001-2005  |
|       27 | C1260336 | Cox-maze procedure                                                     | 2006-2010  |
|       19 | C1260336 | Cox-maze procedure                                                     | 2011-2013  |
|        1 | C1322646 | CRT-D                                                                  | 2011-2013  |
|        1 | C0010408 | Cryosurgery                                                            | 1996-2000  |
|       13 | C0010408 | Cryosurgery                                                            | 2001-2005  |
|       25 | C0010408 | Cryosurgery                                                            | 2006-2010  |
|       15 | C0010408 | Cryosurgery                                                            | 2011-2013  |
|        2 | C1511562 | Curative Surgery                                                       | 2001-2005  |
|        1 | C0280573 | cytarabine/daunorubicin protocol                                       | 1996-2000  |
|        1 | C0280573 | cytarabine/daunorubicin protocol                                       | 2011-2013  |
|        1 | C0199974 | Cytokine therapy                                                       | 2006-2010  |
|        1 | C0206461 | Dalteparin                                                             | 2006-2010  |
|        1 | C0857735 | DC shock                                                               | 1986-1990  |
|        1 | C0857735 | DC shock                                                               | 2001-2005  |
|        1 | C0857735 | DC shock                                                               | 2006-2010  |
|        1 | C0494014 | DEFIBRILLATOR, IMPLANTABLE, DUAL-CHAMBER                               | 1996-2000  |
|        1 | C0494014 | DEFIBRILLATOR, IMPLANTABLE, DUAL-CHAMBER                               | 2001-2005  |
|        1 | C0494014 | DEFIBRILLATOR, IMPLANTABLE, DUAL-CHAMBER                               | 2006-2010  |
